recipe_id,recipe_title,recipe_serves,recipe_reviews,recipe_steps,recipe_images
6094,Simple Summer Pork Chops with Balsamic-Pepper Plum Reduction and Fresh Thyme,Serves: 4 to 6,[],"['1. Rub the pork with the oil and salt and pepper. Put on hot grill. Or, if you are cooking in the pan, set it aside and wait a bit. Grill for 3 to 5 minutes on each side, until nicely browned and cooked through.', '2. Chop the plums into small bites. Place all of the ingredients for the reduction in a cast iron pan. You can also use a small saucepan here, but I like my cast iron.', '3. Simmer over low-medium heat until the plums are softened and the balsamic is reduced to half. Stir occasionally to prevent sticking. The plums will still be chunky when finished.', '4. Pour the sauce over the pork chops, and enjoy with good crusty bread.']",['https://images.food52.com/RG1Y2kTXR70rSfKb8lZ6--pitIk=/753x502/5a76392e-e0f2-47fe-9b03-a5af55b7c56f--2015-0810_simple-summer-pork-chops-with-balsamic-pepper-plum-reduction-and-fresh-thyme_alpha-smoot_282.jpg']
58557,Judy Hesser’s Oven-Fried Chicken,"Serves: 4, or 3 big eaters",['This recipe is a Community Pick!'],"['1. In the morning, combine 2 tablespoons salt and about a cup of warm water in a large bowl or container. Stir to dissolve the salt. Trim the chicken of excess skin and fat. Add the chicken to the bowl. Cover with very cold water and add a tray of ice cubes. Swish around with your hand to disperse them. Chill in the refrigerator until dinner time.', '2. Preheat your oven to 400\xc2\xb0F (200\xc2\xb0C). Remove the chicken from the fridge and pat dry completely with paper towels. Put the butter in a roasting pan large enough to fit the chicken in one layer (But remember, Judy says, ""You don\'t want to crowd it or then it\'ll stew, like mushrooms""). Place the pan in the oven. In a 1-gallon freezer bag, pour in the flour, remaining 1 tablespoon salt and the pepper. Give it a good shake. Add the chicken pieces two at a time and shake them until thoroughly coated. As you lift them out of the bag, shake them off vigorously. This is vital. You do not want a gummy coating. Line them up on a plate, and repeat with the rest.', '3. Lay the chicken pieces in the roasting pan, skin side down, and oven-fry until a chestnut brown and crisp on the bottom, about 40 minutes (sometimes it takes as long as an hour). Don\xe2\x80\x99t flip them until this happens. Use a thin spatula to scrape them up off the pan and turn them; cook the other side until the bottom is browned, which will take less time, around 20 minutes. Remove the pieces from the oven as they finish cooking, and place on a plate lined with paper towels. Just before serving, grind fresh pepper over top and sprinkle lightly with sea salt.']","['https://images.food52.com/xd7bOEB4G9jCAKhNz99f4byawCM=/753x502/13931569-572b-4077-9583-e18cd3226c74--2016-0628_genius-oven-fried-chicken_bobbi-lin_1633.jpg', 'https://images.food52.com/SnO1H4V5f67O9UUdwidOjFlIhxU=/753x502/c7880c4e-caa8-4fc2-80a2-13da7afc379d--2016-0628_genius-oven-fried-chicken_bobbi-lin_1486.jpg', 'https://images.food52.com/cdhV4nD5lw2q_-wvgFms6P_UC3U=/753x502/7b54a300-6c13-481a-a914-0dccb37afa33--2016-0628_genius-oven-fried-chicken_bobbi-lin_1489.jpg', 'https://images.food52.com/J9m9TUrk5ZdBpRIRzGcn0y_Som8=/753x502/02b10b3a-3174-4746-bcdd-4a29e26d3f1c--2016-0628_genius-oven-fried-chicken_bobbi-lin_1496.jpg', 'https://images.food52.com/1ezn8Rg7cLGeo_ZLyssH7fRU97o=/753x502/32085395-9526-4317-b988-067a015ceba0--2016-0628_genius-oven-fried-chicken_bobbi-lin_1615.jpg']"
71162,"Orecchiette with Cheese Sausage, Snap Peas & Lemony-Ricotta with Mint",Serves: 4,['This recipe is a Community Pick!'],"['1. In a small bowl stir together the ricotta and lemon zest. Season with salt and set aside.', '2. Bring a large pot of water to a boil. Add 2 tablespoons of the salt and bring back to a rolling boil. Add the pasta and cook until al dente according to package directions.', '3. While the pasta cooks, prepare the sauce: Heat the oil in a 12-inch skillet over medium heat. Add the sausage and cook until it begins to brown, about 7 minutes.', '4. About 1 minute before the pasta is finished cooking add the snap peas to the pasta pot. Reserving 1 cup of the pasta water, drain the pasta and snap peas and add them directly to the skillet with the sausage. Toss the pasta and the snap peas to coat until they become glossy, adding 1/4 cup of pasta water (up to 1 cup) as needed to loosen the sauce.', '5. Plate in bowls and top each with a spoonful of the ricotta mixture and sprinkle of the mint. Season with flaky salt, if desired.']","['https://images.food52.com/h-nSvr54SLXs89Ksp4aKpazbKNo=/753x502/e8fa676c-52db-46be-9008-733281217f9c--2017-0602_johnsonville-sponsored-recipe-3_orecchiette-three-cheese-sausage_no-packaging_mark-weinberg_157.jpg', 'https://images.food52.com/drHoVPbcgg-ABFgy5Oe0A1dKYBc=/753x502/9ddb6806-a9e8-461e-8f06-446f61e1d1db--2017-0602_johnsonville-sponsored-recipe-3_orecchiette-three-cheese-sausage-packaging_mark-weinberg_148.jpg']"
12406,Roasted Rhubarb and Strawberries,"Makes: 5 cups
                  Prep time: 20 min
                  Cook time: 40 min",[],"[""1. Preheat oven to 350 degrees with a rack positioned in the middle of the oven.\r\n\r\nLine a rimmed baking sheet or large cooking dish with parchment paper, this is a juicy dish and you don't want the delicious juices running all over your oven."", '2. In a large bowl mix the strawberries and rhubarb. In a small bowl whisk together the maple syrup, sweet vermouth, balsamic vinegar and salt.  Pour this over the rhubarb and strawberries, gently tossing until coated.\r\n\r\nSpread the fruit out on the baking dish in a single layer, drizzling the juices over the fruit and slide into the oven.', '3. Roast the fruit for about 40 minutes, the juices should be thick and the rhubarb tender to touch.\r\n\r\nTransfer to a bowl once out of the oven and still warm.\r\n\r\nUse immediately or store in the fridge for up to one week\r\n\r\nServe spooned onto ice cream or a slice of sweet bread, a biscuit, oatmeal or french toast.']","['https://images.food52.com/p1nsRdInexVRSizqx4Covk9HV5s=/753x502/bb4e8eef-dc90-4c9e-be8c-132a20b2eff4--Strawberry_rhubarb.jpg', 'https://images.food52.com/3WbLni1RPgoq9VAG_HOTB5dhAnw=/753x502/7ba89380-2d04-4fd6-bab6-2b5c6edc5a9c--DSC_0027.JPG']"
16493,Roasted asparagus,Serves: 3,[],"['1. Preheat oven to 400F.', '2. Wash and trim trunks off of your asparagus.', '3. Place in either a shallow baking dish or my preference, a cookie sheet', '4. Drizzle lightly with olive oil, coating the tips well.', '5. Drizzle lemon Juice on and mix with hands well.', '6. Salt and pepper to taste.', '7. Bake at 400F for 20 minutes.']",['https://images.food52.com/mUvl6Zz4XNJShHuB6t6m9kg_xno=/753x502/5b136aca-cd83-4fa8-a8d8-469bee1358c5--asp.jpg']
241,Asparagus Mimosa,Serves: 4,['This recipe is a Community Pick!'],"['1. Fill a large pan with water, season with salt and bring to a boil. Fill a large bowl with ice water. Drop the asparagus in the boiling water and cook until just tender, about 4 minutes, then lift out the spears and plunge them in the ice water. Once cool, dry the asparagus on tea towels.', '2. Boil water again and drop in the egg. Cook for 9 minutes, then let it cool before peeling it.', '3. Arrange the asparagus on a platter. Sprinkle on the olive oil, and squeeze over a little lemon juice. Place the egg in a sieve and use the back of a spoon to mash it through the sieve and over the asparagus. (Hence the name -- the fluffy yellow-and-white sieved egg resembles mimosa flowers.) Finish the dish with a coarse grind of pepper and a dash of salt.']",['https://images.food52.com/8XARoSQ76d2mYcQgM0WVlhJtZ5s=/753x502/aee3caf1-8274-4544-903f-d6d0a885885f--SS041609HS501.JPG']
11282,"Asparagus with Shallots, Chiles, and Lemon",Serves: 3 to 4,['This recipe is a Community Pick!'],"[""1. Combine the shallot with a large pinch of salt. It's best to mix with your hands and to rub the salt into the shallots. Let sit while you cook the asparagus."", '2. Heat a large heavy saute pan over medium high heat. Add the oil and then asparagus spears, season with salt, and saute. They will brighten in color. Saute until just cooked through, but still crisp-tender at the center, 3 to 5 minutes.', '3. Arrange the asparagus on a platter. Squeeze any excess juices from the shallots. Mix together the shallot and crushed chile and strew across the asparagus. Sprinkle with Maldon or another flaky sea salt, and serve with the lemon wedges for squeezing on the asparagus at the table.']","['https://images.food52.com/X6eHv7443tyCXW00nZ5Ee1HOHeM=/753x502/cedb1b29-d901-4ac7-9294-3969c163d983--040511F_607.JPG', 'https://images.food52.com/RnOXVIf8UDmEAHvkpY1x5KSV18Q=/e0c5423f-5da4-44d7-9f5f-4af6ed72fa80--040511F_438.JPG', 'https://images.food52.com/JtZmNrAar1_a_yLX_vOYeKJpXkc=/7498c692-2e14-4839-8a5e-bb7de244b6a0--040511F_443.JPG', 'https://images.food52.com/yi8Lvq-BG1ZaxQSLGB_PHmNiPa0=/e84b607b-6394-4982-b503-0c69b137357c--040511F_540.JPG', 'https://images.food52.com/rVtSw8Hxhvvhx86hdHeWe7jdWKY=/c4454e43-1149-45e7-9d73-8570b68e3667--040511F_588.JPG', 'https://images.food52.com/lxljcd3fQFnMS6o4i-XTIUQLlcA=/095adb51-4a34-4241-9a75-5018942b55de--040511F_585.JPG', 'https://images.food52.com/PWDvey4dAfp9V3CvdZ1xhk2xcrQ=/9c3c6481-77d9-4bf8-a479-9d8da64af1c3--040511F_592.JPG', 'https://images.food52.com/bzDYF3peNX-wFXnB_IljFda-73k=/95001435-9738-498f-afae-206fd0a5f0e9--040511F_599.JPG', 'https://images.food52.com/ssjZ6X5ikPRqkenKN1mPfj1JTis=/39008278-e7ca-46c6-80ba-1b7529f83b37--040511F_589.JPG', 'https://images.food52.com/jX4cO0i61SlfCsMo38YLkFA45Dw=/25e76d53-5e0f-439c-9d5f-ef3335ce250d--040511F_602.JPG', 'https://images.food52.com/hyE3_C_MvfCguwA020DSw4PFZhI=/9a09bd24-2e6c-49a6-9f1c-ba75d9ba8a33--040511F_604.JPG', 'https://images.food52.com/ZiTFO2L77nhSjqDlvC2QKVgnoCU=/ee51a846-f9e5-4942-aaf8-03b7e3dce62b--040511F_607.JPG', 'https://images.food52.com/Bi3yWXWFBZmrKJs8tJ7X_XPNlQo=/bd690d73-d572-46a0-9519-9b722bf2e958--040511F_612.JPG']"
8192,Spatchcocked and Braise-Roasted Chicken,Serves: 4,['This recipe is a Community Pick!'],"['1. Heat the oven to 425 degrees. Using poultry shears, cut the backbone out of the chicken. Reserve the backbone. Turn the chicken skin-side-up and press down on the breast bone to flatten the chicken. Generously season the chicken all over.', '2. In a casserole pan or other low shallow pan large enough to fit the flattened chicken, melt the butter in the oil over medium high heat. When the foam subsides, add the chicken skin-side-down, and the backbone, and brown well, 4 to 6 minutes. Remove to a plate. Pour off all but 1 1/2 tablespoons fat.', '3. Set the pan back on the stove. Add the shallots and garlic, and cook over medium heat until the shallot has softened, about 2 minutes. Add the rosemary, sage and sherry. Increase the heat and boil off nearly all the sherry. Add 1 cup chicken broth and the lemon slices. Gently lower the chicken back into the pan, again skin-side up.', '4. If needed, add more broth to come 1/2-inch up the side of the pan. Transfer the pan to the oven, and braise-roast until the chicken is cooked through (an internal temperature of 165 degrees), 30 to 50 minutes.', '5. Transfer the chicken to a cutting board and let rest for 10 minutes -- uncovered, or the skin will soften! Carve the bird. Strain the pan juices and adjust the seasoning. Serve bird and cooked-down broth, and enjoy!']","['https://images.food52.com/XmXXhA_bU4QI8C2ZDcQUkamyBAw=/753x502/620cea7d-f427-4646-873d-8b051e9405a3--112910F_209.JPG', 'https://images.food52.com/u4JpwACNnELSoxK1SjJBK3Uw_CU=/eafbd14f-ed1a-49fa-bafb-1d702fefa5dc--112910F_071.JPG', 'https://images.food52.com/NssRugiUgz1LlAZeQVMxa6eGaH4=/8991b070-5689-468d-b3ce-afd8061ef460--112910F_114.JPG', 'https://images.food52.com/ACd7bTPHaI1D_zXZLd91mr7WzEw=/384ddceb-442c-4a15-9370-e38f73b6c0cc--112910F_118.JPG', 'https://images.food52.com/qA3rgy-ycTHuJS5e4f2KsUNZqtk=/e215fe9c-cd07-4cb9-a55d-fabc2270a34b--112910F_122.JPG', 'https://images.food52.com/kGcCSq9xzmhvoW2z5da7VKg2lLg=/01b2ea09-6f5a-4571-a3f4-c517aff29ecc--112910F_124.JPG', 'https://images.food52.com/ikUPPYXl2AZS693AFMWYCotGpac=/b123bb85-ba87-487e-af51-ed98dbf7a6f3--112910F_128.JPG', 'https://images.food52.com/lhSwwkjWqsvzOlWq0Tv88g1UNr0=/e4950584-c30d-4834-b247-228ccb62e983--112910F_132.JPG', 'https://images.food52.com/ADjPY1KUoQQ-2BzWzwNUvoMgXmM=/b924e4c5-7ad4-4d5e-8c22-fd7ce5682a4b--112910F_138.JPG', 'https://images.food52.com/0oz0BqQE9BaBIbhgoxdpkAO2peY=/7dab3b60-c0bd-491f-9567-6473d97cec14--112910F_145.JPG', 'https://images.food52.com/KtsX05EVsYnCx0dK-a78uWa8FTs=/5042db49-4fb9-44fa-9eaf-bfbca0ee6a3a--112910F_169.JPG', 'https://images.food52.com/p6rkr7T0QnvDtgg6YeEb7JqPJw4=/334d757a-2f33-48ca-93d7-e36be69a58fd--112910F_170.JPG', 'https://images.food52.com/qHQyiGcyayDpfHqeT5kav8uN_QY=/ba61404f-2868-40bf-a047-423eb971af83--112910F_171.JPG', 'https://images.food52.com/cuC2AlvwIAnct193WuA7C7uEECU=/0348915f-606c-4088-a283-6d30f90d5a74--112910F_177.JPG', 'https://images.food52.com/S0a8inZ2TNeth5KL4tdVkkeLZUM=/16b4ec82-ca15-4654-be9a-7f53d8777a2a--112910F_183.JPG', 'https://images.food52.com/FqbmUBAH8YLc7zpXklUF2ropStQ=/409a84e0-aebe-49cc-8336-b0050bd35107--112910F_187.JPG', 'https://images.food52.com/jE0i_vz2UQ4fWRtpDXd-VaXAgeU=/68fd669e-2d98-4a2f-82f9-37edae347a0c--112910F_192.JPG', 'https://images.food52.com/1b14yd2ll4w-owRg9n4WUpsS5Vo=/6979f572-38f5-42cf-8139-400823e4f8aa--112910F_195.JPG', 'https://images.food52.com/l3NOpf5tEF7MtOfy9Kp-Pk3FPZc=/82eb1490-f061-4108-9887-6cba0da14946--112910F_209.JPG']"
63142,"Spaghetti Squash with Chiles, Lime, and Cilantro",Serves: 4,['This recipe is a Community Pick!'],"['1. Preheat the oven to 375\xc2\xb0 F. Place squash in a buttered baking dish or sheet pan. Use a sharp knife to puncture the skin in several places\xe2\x80\x94this will prevent it from exploding in the oven. Roast for 60 to 75 minutes or until lightly browned. Remove from the oven and let cool briefly.', '2. Meanwhile, place the onion and chile in a small bowl and cover with 2 tablespoons of the lime or lemon juice. Season with a pinch of kosher salt.', '3. When squash has cooled slightly, cut it in half. Scoop out the seeds and reserve for another use. Drag a fork across the flesh of the squash, pulling up the strands. Transfer to a large mixing bowl. You should have about 3 cups. Season with 1 teaspoon salt. Pour the macerated onion and chiles over top. Pour over 3 tablespoons melted coconut oil and all of the cilantro. Toss and taste. Add more salt, if necessary, and another tablespoon of lime or lemon or coconut oil to taste.']","['https://images.food52.com/C3yRjR5VJqGPkcIEbartmgrn-7Y=/753x502/6701b109-5887-4e28-b255-ba0b191907bf--roastedspaghettisquashwithchilieslimeandcilantro.jpg', 'https://images.food52.com/BfY7nFHRkRrZQuC9ex83Fa7yEic=/753x502/a0abc138-f937-4c9a-a9b2-58d8b85c3f08--readyfortheoven.jpg', 'https://images.food52.com/AKzgn5rIXHRtcSZlgsuXMLeIfwA=/753x502/70b5dea8-9271-473e-b0c9-43a3c65b45d6--roastedspaghettisquash.jpg', 'https://images.food52.com/5JeAWbdf7qSdAgLUoVutBQriU8Y=/753x502/32b63ce5-1e36-4702-bd9d-d01189d63361--halvedsquash.jpg', 'https://images.food52.com/0xkWiGCHoXFS5g8EzpT3efGR6LU=/753x502/f72a739b-b325-4d59-85c3-3aa141cd7239--squashonionchilliescilantro.jpg', 'https://images.food52.com/ELWNUNxi2ixxjp0gHN85C_3YNTw=/753x502/ae389859-f062-42c7-ab3e-191907bb962f--roastedspaghettisquashwithchilieslimeandcilantro2.jpg', 'https://images.food52.com/PZgT4kbrS6QfGTtvz8GOoPN8R9U=/753x502/cca0c0aa-b2c2-410d-b9b3-ccbe80c4b116--fritterassembly.jpg', 'https://images.food52.com/KHp0JFxYLyQwJ4WA6KOgPHlty7w=/753x502/7aefedc6-236d-47ab-a7b7-77ea511da196--fryingthefritters.jpg', 'https://images.food52.com/isCWBaK3uyGIuHJdti3cqnkS6Ec=/753x502/3e69466f-16e3-4276-86fe-7c806584598d--fritters.jpg', 'https://images.food52.com/9g5z-6rHVfpARt1kSatylS6-rc8=/753x502/7e7205eb-88d6-46f5-a5ed-afcbc0f44dbf--butteredsquash.jpg', 'https://images.food52.com/18XBcU3-ONn690ElkNTwwsor7sU=/753x502/5795b899-e74e-44d3-84ed-2dc8ca39f923--with-parm.jpg', 'https://images.food52.com/K1rMkL1gV2cKz6_sCMPsMP1t5kY=/753x502/059f2fca-85d3-4139-8dc5-2a1f817846a6--withparmparsleyand-lemon.jpg']"
63393,Curried Lentils with Coconut Milk,"Serves: 4
                  Prep time: 10 min
                  Cook time: 55 min",['This recipe is a Community Pick!'],"['1. In a large saucepan over medium heat, warm the olive oil. Add the ginger, garlic, shallot (or onion), coriander, cumin, and turmeric and cook, stirring now and then, until the vegetables are softened and the spices are very fragrant, about 10 minutes.', ""2. Add the lentils, coconut milk, and 1 to 2 teaspoons kosher salt (Note: if you are sensitive to salt or using table salt or even Morton's kosher salt, which is saltier than Diamond Crystal kosher salt, start with 1 teaspoon, then add more to taste\xe2\x80\x94I use Diamond Crystal and so typically use 2, but use your judgement), then fill the empty coconut-milk can with water and add it to the saucepan. It will look like a lot of liquid, but the lentils will absorb it as they cook. Stir everything together, turn the heat to high, and bring the mixture to a boil. Turn the heat to low and let the lentils simmer, stirring now and then, until they\xe2\x80\x99re completely soft, about 20 minutes. Season to taste with salt. (Note: If you're using those French green lentils, you will need to cook this longer, 30 to 45 minutes. Just keep tasting to see when the lentils are cooked through. You may or may not need to add more water.)"", '3. Serve the lentils hot over rice. Top each serving with a spoonful of yogurt and a sprinkle of cilantro. A side of naan is nice, too.']","['https://images.food52.com/aRUvIdq8mQzVhMyCSFisfhzH87k=/753x502/d5a5bb4b-8bbe-4f6d-8699-3f055cc349c9--lentilswithcoconutmilk1.jpg', 'https://images.food52.com/4WJ360ETeBp2HlBLonre_h6YJts=/753x502/1a65c747-f92a-455d-88f5-0d54aa26d9a9--ingredients.jpg', 'https://images.food52.com/dulc2tQ2_2BZggCHdglq6iw3EJE=/753x502/788625a7-f19a-4317-a071-a15c812f7a47--after10minutes.jpg', 'https://images.food52.com/s7mbebtp4M2cgDtsHpKuyx5r4ZY=/753x502/e745148d-c20f-48ec-9692-82c4abae1565--lentils2.jpg']"
63621,Curried Chickpeas with Cauliflower and Coconut Milk,Serves: 4 to 6,[],"['1. Dissolve the 3 tablespoons of salt into a large bowl of water (your largest mixing bowl, or about 4 quarts water). Add the chickpeas and soak for 8 to 24 hours. Drain, and place in a pot with the onion, thyme, and remaining teaspoon of salt. Cover with water by three inches. Bring to a boil, then lower heat and cook at the gentlest simmer for about an hour or until the chickpeas are cooked through. Let chickpeas cool in their cooking liquid. Discard thyme sprigs, and onion. Store chickpeas in their cooking liquid. You need 4 cups of cooked chickpeas for the recipe.', '2. Meanwhile, cook the cauliflower: Fill a large pot with water and bring to a boil. Meanwhile, cut out the core of the cauliflower and remove the leaves. Cut the cauliflower into florets about 2-inches in size \xe2\x80\x94 they\xe2\x80\x99ll break down further when they cook with the chickpeas. You should have about 6 cups. Add the 1 tablespoon of salt and the cauliflower to the boiling water, and cook for 5  minutes, until the cauliflower is tender but not mushy. Lift out the florets with a slotted spoon, and spread on a tray or plate to cool.', '3. Meanwhile, in a large pot over medium heat, warm the olive oil. Add the onion and curry powder and cook, stirring now and then, until the onions are softened and the curry is very fragrant, about 10 minutes.', '4. Add the coconut milk, then fill the empty can with water and add it to the saucepan. Add the remaining 2 teaspoons salt, the cooked cauliflower, 4 cups cooked chickpeas, raisins, and pine nuts, if using. Stir everything together, turn the heat to high, and bring the mixture to a boil. Turn the heat to low and let simmer, stirring now and then, for about 20 minutes, or until the liquid has reduced, the cauliflower has broken down a bit, and the chickpeas taste flavorful. Add the cilantro and stir to combine. Season to taste with salt. Serve with naan.']","['https://images.food52.com/bRh27vAo5l9__8SD0u2UaHOD1dM=/753x502/02f526a3-2c82-4e04-bafe-f1012a53861c--curriedcauliflower1.jpg', 'https://images.food52.com/CF2HU3Bs37bZJKVonleRfqDcVPs=/753x502/cfdb871a-e3a0-4b90-9fdf-39a65cd9ecd7--cauliflower.jpg', 'https://images.food52.com/WmeMEaU7VZho5Z9Vvs3HmvdFI-w=/753x502/757f5b3a-a76e-4943-8f81-c13ce1a04470--addingthecauliflowerandchickpeas.jpg', 'https://images.food52.com/aJy7OyHBxeAegx8S9ZNp_bfZ-CE=/753x502/e4ee8c32-71bb-4a66-87ae-81fed9c2b7cc--addingthecilanto.jpg', 'https://images.food52.com/f_WuGM02PrTRXbW85lU3Pt0fD0M=/753x502/7949b66c-f284-4fff-b518-051dfeed2cc5--curriedchickpeas2.jpg']"
1799,Perfect Pancakes,Serves: 4,[],"['1. melt the two tablespoons of butter in a pan.  when the butter just starts to bubble, add the apples.  cook over a medium heat until they start to release their liquid.  add the maple syrup and cook until the apples start to caramelize.  remove from heat and set aside.', '2. sift the dry ingredients together and set aside.  put the eggs, vanilla extract and milk in a mixing bowl and beat at a high speed with an electric mixer or whisk for a few minutes until the liquid looks frothy.  add the flour and mix on the lowest speed until the large lumps disappear.  gently blend in the melted butter and apples.  do not over mix.', ""3. melt a tablespoon of butter in a heavy skillet over a medium high heat.  the pan needs to be hot. test it by putting a drop of batter in the pan.  if it sizzles, it's hot enough.  using a soup ladle, add as many pancakes to the pan as it will hold without crowding.  when you start to see bubbles forming and the edges starting to harden, flip the pancakes over and cook for a few minutes on the other side.  serve with warm maple syrup.""]","['https://images.food52.com/nOAjcrD65-nFJLdyrAzDFuKpXTg=/753x502/579022ef-81c4-4f12-8d7f-de97658aa654--112309F_581.JPG', 'https://images.food52.com/HhI-azgSbi0y71HvWN6QOU04OgU=/753x502/4a1c288a-0d94-421b-b6b5-b4308cac3adb--pancakes.bmp', 'https://images.food52.com/VS51DVvSxyteHy1Tve-hZjT1BC0=/5b0fcb1c-c8ec-43d8-bee0-a78056003acc--112309F_426.JPG', 'https://images.food52.com/EiRIUobfMDf-KKSD6BhvlYuIFRM=/f1006a4d-5cdf-4a73-a9a3-44fc734d9157--112309F_448.JPG', 'https://images.food52.com/0R5DH48SPRqK8i67RbNvcDEtIV0=/bd4527d6-dbbe-40fe-bccf-3aee7430de0f--112309F_461.JPG', 'https://images.food52.com/K6SQ5xr0EjV9D8BFVJMnBdL5xb8=/c6d0af08-e7c0-4033-a57e-f50d716646b1--112309F_481.JPG', 'https://images.food52.com/HWNXwyefWYd4nrlVJwy1IuFNG1A=/791c923d-ecab-46d8-829e-c0a8047f512f--112309F_494.JPG', 'https://images.food52.com/QKjqgvDSjJY2BPMHh-02t0cJ-o4=/7fb8fd1b-8a86-4c24-9bdd-77d4859b4540--112309F_509.JPG', 'https://images.food52.com/RwK-AtuAwr-SZoxassWRsm6Q1_8=/1a6ba2e8-0c50-4c1f-ba16-7b17efb81cfc--112309F_519.JPG', 'https://images.food52.com/gypL23rRae_D__2JwY7-Z-m0g_c=/5f5ab54b-7af8-45fe-9ae5-1ee5b7286c6f--112309F_512.JPG', 'https://images.food52.com/w5b19Gw2A2aY7RGRwiLc0USaUqQ=/7ccffc2c-90d2-4b8c-8cfc-8c848b19f330--112309F_522.JPG', 'https://images.food52.com/xhc4lznoGImoSWEgajSWa3WEiaU=/dc8867e7-7efe-427a-94f5-04fe1485f919--112309F_528.JPG', 'https://images.food52.com/YlSCGUh5XemOis1sCMiOjTvFGIg=/ce37525e-2911-4dc0-b2c4-25a2c2dcffc1--112309F_530.JPG', 'https://images.food52.com/mebPA8BkfYMaD1olKOA2-mPVefo=/a0293c58-f8de-4043-bd78-d6132676a44d--112309F_535.JPG', 'https://images.food52.com/W-nU_mE-Or87OcPHqKgmsEJPEpg=/6d6f1696-043e-4456-ba58-c0e04a336da3--112309F_542.JPG', 'https://images.food52.com/i9NWbZtJiOequwnfWCXL4N-IBDI=/074482e1-9a39-4762-9332-603cdbcae965--112309F_547.JPG', 'https://images.food52.com/ToCQ6DI7_e3MBIVrrXNGt0pfdc8=/531d0472-d2d4-458d-860a-c0403c3bf329--112309F_581.JPG']"
52751,Khichdi (Indian Rice and Lentils) and Potato Fries,Serves: 4,['This recipe is a Community Pick!'],"['1. Place the rice in a colander and rinse it under running water. Then add it to a bowl and cover it with water so that it soaks while you prepare the other ingredients.', '2. In a non-stick soup-pot, over medium heat, toast the yellow lentils. Stir for 3 to 4 minutes, or until the color turns light golden brown and releases a nice aroma. Transfer to a strainer and wash thoroughly under running water. Set it aside.', '3. In the same soup pot, over medium-high heat, heat clarified butter. Once hot, add cumin seeds and bay leaf and cook for 2 to 3 minutes or until they start to splutter.', '4. Add sliced onion and ginger and cook for 5 to 6 minutes, or until onions are softened. Add green beans and carrots and cook for 3 to 4 minutes, or until the vegetables soften. Add peas, chile, tomato, turmeric, chili powder, and salt and cook over medium-low heat for 3 to 4 minutes, or until tomatoes soften.', '5. Drain the rice, then add it to the pot with the lentils and 8 cups of water. Cover and cook for 38 to 40 minutes, or until soft.', '6. Meanwhile, mix together potato pieces, salt, turmeric, and ground chili powder. In a non-stick skillet, over medium heat, heat vegetable oil. Add potato pieces and cook, covered, for 8 to 10 minutes, or until potatoes soften.', '7. Garnish the khichi with cilantro and serve warm with potato fries on the side.']","['https://images.food52.com/I2vptrS8wVpufp4ShQF6Rpa7du4=/753x502/8f678666-a807-4bb7-8ee6-a6310de7078c--Khichdi.jpg', 'https://images.food52.com/Co3MEUXT_WOHU2Vwpn4GgOSbVXs=/753x502/e4660762-db9e-4809-aeb5-e1a4b1456e13--khichdi3.jpg']"
66734,Colcannon,Serves: 6,['This recipe is a Community Pick!'],"['1. Melt 3 tablespoons of the butter in a large skillet over medium-high heat. Add the onions and cook until they are golden and caramelized, 15 to 20 minutes.', '2. Meanwhile (if starting with raw potatoes), boil the potatoes in salted boiling water until tender, 10 to 20 minutes. Drain, reserving 1 cup of the cooking water. Peel and discard the skins and mash the potatoes with the milk and 2 tablespoons of the butter. If the potatoes are too thick, add some of the cooking water to achieve a smooth consistency. Season the potatoes with salt and pepper. Stir in the cooked greens. Melt the remaining 3 tablespoons butter. To serve, place a mound of potatoes and greens in a shallow bowl and make a well in the center. Fill with some melted butter and top with some of the fried onions.']",['https://images.food52.com/rLUBOp1p2_hUS9SJZTQ316LrqEc=/753x502/8fc01161-a68f-445f-84ff-7185cc1cf692--Colcannon.jpg']
66733,Braised Cabbage,Serves: 6,['This recipe is a Community Pick!'],"['1. Heat a large skillet over high heat. Swirl in the oil. When it shimmers, add the onions, chilies, and bacon. While stirring, saut\xc3\xa9 until the bacon starts to turn golden brown and the onions begin to caramelize, 3 to 5 minutes.', '2. Add the cabbage, carrots, and salt and stir to combine. Pour in the broth or water, reduce the heat to medium-low, and continue to cook, stirring occasionally, until the cabbage is tender, about 15 to 20 minutes. Add a small amount of water if needed to avoid scorching.']",['https://images.food52.com/hYYdyayv2DE11-uXFnPNn1wT980=/753x502/bfc5fc8f-8479-4ba1-bee7-1dcbaa2d9d73--Braised_Cabbage.jpg']
